strategy,best_fitness,total_time,numCities,popSize,mapSize,numIslands,parentSelectionRate,crossoverProbability,mutationProbability,generations,sel_compute,sel_kernel,sel_total,cross_compute,cross_kernel,cross_total,mut_compute,mut_kernel,mut_total,repl_compute,repl_kernel,repl_total,mig_compute,mig_kernel,mig_total,updPop_compute,updPop_kernel,updPop_total,updOff_compute,updOff_kernel,updOff_total
CPU,8.89971e-06,15.5699,256,8192,1000,16,1,0.7,0.05,5,0.145335,0,0.23621,10.9543,0,11.0516,0.520082,0,0.618236,1.59152,0,2.13328,0.0009038,0,0.541361,0.205068,0,0.861434,0.182865,0,0.274512
CUDA,8.66046e-06,2.2273,256,8192,1000,16,1,0.7,0.05,5,0.396256,0,0.488434,0.339054,0.322852,0.552816,0.0543804,0.0457663,0.147419,0.015022,0.00214205,0.106381,0.554145,0,1.67526,0.256859,0.246276,0.257188,0.0063983,0.00169734,0.0066648
CUDA_SELECTION,8.42437e-06,15.7387,256,8192,1000,16,1,0.7,0.05,5,0.394068,0,0.488568,11.0015,0,11.0926,0.527815,0,0.621133,1.59008,0,2.16916,0.0009803,0,0.560003,0.2138,0,0.918477,0.189014,0,0.280527
CUDA_CROSS,8.61067e-06,5.45062,256,8192,1000,16,1,0.7,0.05,5,0.146488,0,0.23699,0.669281,0.64157,0.868843,0.514375,0,0.604965,1.58427,0,2.146,0.0009528,0,0.555374,0.207739,0,0.867083,0.180896,0,0.271989
CUDA_MUTATION,8.52061e-06,15.3973,256,8192,1000,16,1,0.7,0.05,5,0.135411,0,0.226471,10.7542,0,10.8458,0.534196,0.47964,0.625516,1.57065,0,2.15398,0.0009282,0,0.562717,0.212864,0,0.878164,0.169615,0,0.256032
CUDA_REPLACEMENT,8.48532e-06,13.3557,256,8192,1000,16,1,0.7,0.05,5,0.131951,0,0.223828,10.6217,0,10.7124,0.527149,0,0.624569,0.121334,0.0250358,0.222424,0.0010296,0,0.55927,0.203767,0,0.893386,0.180827,0,0.274669
CUDA_MIGRATION,8.88583e-06,16.0136,256,8192,1000,16,1,0.7,0.05,5,0.131959,0,0.227973,10.7798,0,10.8711,0.52003,0,0.617474,1.56142,0,2.15255,0.569311,0,1.70311,0.206473,0,0.894911,0.171872,0,0.259884
CUDA_UPDATE_POPULATION,8.74945e-06,14.5707,256,8192,1000,16,1,0.7,0.05,5,0.136488,0,0.2324,10.6648,0,10.7596,0.521404,0,0.612113,1.56326,0,2.1002,0.000908,0,0.562111,0.0515239,0.0192106,0.051834,0.171893,0,0.260615
CUDA_UPDATE_OFFSPRING,8.70776e-06,15.1572,256,8192,1000,16,1,0.7,0.05,5,0.135915,0,0.228993,10.7162,0,10.8076,0.527003,0,0.615815,1.53751,0,2.12362,0.0016896,0,0.591776,0.216248,0,0.891938,0.0475175,0.0203222,0.0477953
CUDA_UPDATE_ALL_FITNESS,8.7047e-06,14.3526,256,8192,1000,16,1,0.7,0.05,5,0.129684,0,0.220156,10.6503,0,10.7435,0.496978,0,0.585288,1.56892,0,2.14098,0.0009714,0,0.57087,0.054186,0.0219424,0.0545586,0.0466527,0.0195732,0.0469456
