strategy,best_fitness,sel_compute,sel_kernel,sel_total,cross_compute,cross_kernel,cross_total,mut_compute,mut_kernel,mut_total,repl_compute,repl_kernel,repl_total,mig_compute,mig_kernel,mig_total,updPop_compute,updPop_kernel,updPop_total,updOff_compute,updOff_kernel,updOff_total,compute_time,kernel_time,total_time
CPU,1.10E-05,8.13914,0,13.0453,539.881,0,544.906,27.6462,0,32.644,76.3185,0,104.801,0.0624209,0,28.5089,9.57081,0,38.0005,9.4878,0,14.4319,671.106,0,776.337
CUDA,1.16E-05,8.15313,0,13.104,22.8229,19.3292,33.5643,4.50878,1.00711,9.66161,6.83792,0.921137,11.9464,0.0559495,0,28.4322,2.20141,0.410911,2.21805,2.18058,0.422179,2.19837,46.7607,22.0906,101.125
CUDA_SELECTION,1.10E-05,7.97977,0,12.836,538.204,0,543.232,27.3596,0,32.3075,76.0408,0,104.449,0.0550042,0,28.431,9.46414,0,37.7072,9.41348,0,14.2982,668.516,0,773.261
CUDA_CROSS,1.09E-05,8.3033,0,13.3052,28.9648,25.3759,39.7527,27.901,0,32.9128,77.2198,0,105.917,0.061485,0,28.7847,9.68938,0,38.3715,9.55371,0,14.5262,161.694,25.3759,273.57
CUDA_MUTATION,1.08E-05,8.32151,0,13.3405,544.852,0,549.959,6.31646,1.98187,11.5671,76.9002,0,105.594,0.0612235,0,28.7292,9.68512,0,38.3481,9.62875,0,14.6645,655.765,1.98187,762.203
CUDA_REPLACEMENT,1.23E-05,7.92003,0,12.7659,532.781,0,537.774,27.2304,0,32.1348,10.1206,2.07165,15.1291,0.0537625,0,28.1232,9.42203,0,37.4779,9.37553,0,14.2298,596.904,2.07165,677.634
CUDA_MIGRATION,1.12E-05,7.85461,0,12.6666,530.66,0,535.624,27.1095,0,31.9673,76.2104,0,104.5,0.0539225,0,28.2597,9.35005,0,37.5401,9.29335,0,14.1032,660.532,0,764.661
CUDA_UPDATE_POPULATION,1.20E-05,7.91941,0,12.7214,529.649,0,534.607,27.1249,0,32.0036,75.1408,0,103.297,0.0519175,0,28.1719,3.41188,0.680762,3.42752,9.31864,0,14.1236,652.617,0.680762,728.352
CUDA_UPDATE_OFFSPRING,1.10E-05,7.83305,0,12.6354,527.294,0,532.24,27.0155,0,31.8585,75.8334,0,103.81,0.052035,0,27.981,9.28597,0,37.2122,3.44042,0.727789,3.45696,650.754,0.727789,749.194
CUDA_UPDATE_ALL_FITNESS,1.09E-05,7.89705,0,12.6798,528.138,0,533.093,27.059,0,31.8975,75.582,0,103.598,0.0515168,0,28.024,3.39879,0.672906,3.4137,3.55583,0.834551,3.57182,645.683,1.50746,716.278
